2400	1391739664.78	0	70.8705357143	846.614173228	1
6320	1391739668.78	4	72.5806451613	826.666666667	1
10280	1391739672.78	8	75.0	800.0	1
14040	1391739676.79	12	84.5070422535	710.0	1
17840	1391739680.79	16	88.2352941176	680.0	1
21640	1391739684.79	20	95.7446808511	626.666666667	1
25400	1391739688.79	24	77.5862068966	773.333333333	1
29200	1391739692.8	28	73.1707317073	820.0	1
33120	1391739696.8	32	73.1707317073	820.0	1
36960	1391739700.8	36	69.2307692308	866.666666667	1
40800	1391739704.8	40	71.4285714286	840.0	1
44680	1391739708.81	44	73.7704918033	813.333333333	1
48520	1391739712.81	48	70.3125	853.333333333	1
52400	1391739716.81	52	74.0740740741	810.0	1
56200	1391739720.82	56	84.5070422535	710.0	1
59960	1391739724.82	60	77.9220779221	770.0	1
63760	1391739728.82	64	81.0810810811	740.0	1
67560	1391739732.83	68	88.2352941176	680.0	1
71280	1391739736.83	72	100.0	600.0	1
75040	1391739740.83	76	65.2173913043	920.0	1
78880	1391739744.83	80	62.5	960.0	1
82760	1391739748.84	84	63.3802816901	946.666666667	1
86560	1391739752.84	88	72.5806451613	826.666666667	1
90360	1391739756.84	92	68.1818181818	880.0	1
94160	1391739760.84	96	64.2857142857	933.333333333	1
97960	1391739764.85	100	77.9220779221	770.0	1
101600	1391739768.85	104	77.5862068966	773.333333333	1
105120	1391739772.85	108	65.2173913043	920.0	1
108600	1391739776.85	112	69.7674418605	860.0	1
112120	1391739780.86	116	70.3125	853.333333333	1
115680	1391739784.86	120	71.4285714286	840.0	1
119200	1391739788.86	124	71.4285714286	840.0	1
122760	1391739792.87	128	76.2711864407	786.666666667	1
126280	1391739796.87	132	81.8181818182	733.333333333	1
129720	1391739800.87	136	84.9056603774	706.666666667	1
133160	1391739804.87	140	86.9565217391	690.0	1
136640	1391739808.88	144	84.5070422535	710.0	1
140080	1391739812.88	148	81.0810810811	740.0	1
143600	1391739816.88	152	81.8181818182	733.333333333	1
147080	1391739820.89	156	83.3333333333	720.0	1
150480	1391739824.89	160	93.75	640.0	1
153960	1391739828.89	164	83.3333333333	720.0	1
157360	1391739832.9	168	80.3571428571	746.666666667	1
160760	1391739836.9	172	81.0810810811	740.0	1
164240	1391739840.9	176	83.3333333333	720.0	1
167640	1391739844.9	180	77.5862068966	773.333333333	1
171040	1391739848.91	184	80.3571428571	746.666666667	1
174440	1391739852.91	188	81.8181818182	733.333333333	1
177840	1391739856.91	192	82.1917808219	730.0	1
181240	1391739860.91	196	81.8181818182	733.333333333	1
184640	1391739864.92	200	77.5862068966	773.333333333	1
188040	1391739868.92	204	83.3333333333	720.0	1
191480	1391739872.92	208	86.9565217391	690.0	1
194960	1391739876.93	212	83.3333333333	720.0	1
198360	1391739880.93	216	81.8181818182	733.333333333	1
201760	1391739884.93	220	77.9220779221	770.0	1
205160	1391739888.93	224	75.0	800.0	1
208600	1391739892.93	228	84.5070422535	710.0	1
212000	1391739896.94	232	90.9090909091	660.0	1
215440	1391739900.94	236	76.2711864407	786.666666667	1
218840	1391739904.95	240	81.8181818182	733.333333333	1
222240	1391739908.95	244	83.3333333333	720.0	1
225640	1391739912.95	248	80.3571428571	746.666666667	1
229040	1391739916.95	252	69.7674418605	860.0	1
232440	1391739920.96	256	77.5862068966	773.333333333	1
235880	1391739924.96	260	82.1917808219	730.0	1
239280	1391739928.96	264	73.7704918033	813.333333333	1
242680	1391739932.97	268	73.7704918033	813.333333333	1
246080	1391739936.97	272	75.0	800.0	1
249560	1391739940.97	276	77.5862068966	773.333333333	1
253000	1391739944.98	280	76.2711864407	786.666666667	1
256520	1391739948.98	284	77.5862068966	773.333333333	1
260040	1391739952.98	288	76.2711864407	786.666666667	1
263520	1391739956.98	292	80.3571428571	746.666666667	1
266920	1391739960.99	296	81.8181818182	733.333333333	1
270360	1391739964.99	300	76.2711864407	786.666666667	1
273800	1391739968.99	304	76.2711864407	786.666666667	1
277200	1391739972.99	308	81.8181818182	733.333333333	1
280680	1391739977.0	312	76.2711864407	786.666666667	1
284200	1391739981.0	316	70.3125	853.333333333	1
287680	1391739985.0	320	70.3125	853.333333333	1
291200	1391739989.0	324	71.4285714286	840.0	1
294720	1391739993.01	328	73.7704918033	813.333333333	1
298280	1391739997.01	332	73.7704918033	813.333333333	1
301800	1391740001.01	336	68.1818181818	880.0	1
305360	1391740005.02	340	70.3125	853.333333333	1
308880	1391740009.02	344	73.1707317073	820.0	1
312440	1391740013.02	348	78.9473684211	760.0	1
315960	1391740017.02	352	72.5806451613	826.666666667	1
319480	1391740021.03	356	71.4285714286	840.0	1
322920	1391740025.03	360	75.0	800.0	1
326480	1391740029.03	364	75.0	800.0	1
330000	1391740033.03	368	70.3125	853.333333333	1
333520	1391740037.04	372	71.4285714286	840.0	1
337040	1391740041.04	376	71.4285714286	840.0	1
340600	1391740045.04	380	72.5806451613	826.666666667	1
344120	1391740049.04	384	70.3125	853.333333333	1
347640	1391740053.05	388	75.0	800.0	1
351160	1391740057.05	392	71.4285714286	840.0	1
354640	1391740061.05	396	71.4285714286	840.0	1
358200	1391740065.05	400	73.7704918033	813.333333333	1
361720	1391740069.06	404	72.5806451613	826.666666667	1
365240	1391740073.06	408	73.7704918033	813.333333333	1
368800	1391740077.06	412	77.5862068966	773.333333333	1
372320	1391740081.06	416	72.5806451613	826.666666667	1
375840	1391740085.07	420	72.5806451613	826.666666667	1
379320	1391740089.07	424	77.9220779221	770.0	1
382840	1391740093.07	428	72.5806451613	826.666666667	1
386360	1391740097.08	432	70.3125	853.333333333	1
