400	1390703115.49	0	nan	nan	0
2400	1390703117.49	2	78.9473684211	760.0	1
4360	1390703119.49	4	76.9230769231	780.0	1
6360	1390703121.49	6	88.2352941176	680.0	1
8320	1390703123.5	8	88.2352941176	680.0	1
10280	1390703125.5	10	83.3333333333	720.0	1
12280	1390703127.5	12	107.142857143	560.0	1
14240	1390703129.5	14	136.363636364	440.0	1
16200	1390703131.5	16	100.0	600.0	1
18200	1390703133.51	18	78.9473684211	760.0	1
20160	1390703135.51	20	83.3333333333	720.0	1
22120	1390703137.51	22	93.75	640.0	1
24120	1390703139.51	24	88.2352941176	680.0	1
26080	1390703141.51	26	75.0	800.0	1
28040	1390703143.51	28	71.4285714286	840.0	1
30040	1390703145.52	30	78.9473684211	760.0	1
32000	1390703147.52	32	75.0	800.0	1
33960	1390703149.52	34	71.4285714286	840.0	1
35960	1390703151.52	36	75.0	800.0	1
37920	1390703153.52	38	76.9230769231	780.0	1
39880	1390703155.52	40	75.0	800.0	1
41880	1390703157.53	42	76.9230769231	780.0	1
43840	1390703159.53	44	78.9473684211	760.0	1
45800	1390703161.53	46	76.9230769231	780.0	1
47800	1390703163.53	48	75.0	800.0	1
49760	1390703165.53	50	76.9230769231	780.0	1
51720	1390703167.53	52	83.3333333333	720.0	1
53720	1390703169.54	54	83.3333333333	720.0	1
55680	1390703171.54	56	75.0	800.0	1
57640	1390703173.54	58	78.9473684211	760.0	1
59640	1390703175.54	60	78.9473684211	760.0	1
61600	1390703177.54	62	85.7142857143	700.0	1
63560	1390703179.55	64	81.0810810811	740.0	1
65560	1390703181.55	66	83.3333333333	720.0	1
67520	1390703183.55	68	83.3333333333	720.0	1
69480	1390703185.55	70	78.9473684211	760.0	1
71480	1390703187.56	72	78.9473684211	760.0	1
73440	1390703189.56	74	83.3333333333	720.0	1
75400	1390703191.56	76	83.3333333333	720.0	1
77400	1390703193.56	78	71.4285714286	840.0	1
79360	1390703195.56	80	71.4285714286	840.0	1
81320	1390703197.57	82	71.4285714286	840.0	1
83320	1390703199.57	84	83.3333333333	720.0	1
85280	1390703201.57	86	78.9473684211	760.0	1
87240	1390703203.57	88	76.9230769231	780.0	1
89240	1390703205.57	90	71.4285714286	840.0	1
91200	1390703207.58	92	75.0	800.0	1
93160	1390703209.58	94	83.3333333333	720.0	1
95160	1390703211.58	96	83.3333333333	720.0	1
97120	1390703213.58	98	78.9473684211	760.0	1
99080	1390703215.58	100	78.9473684211	760.0	1
101080	1390703217.59	102	75.0	800.0	1
103040	1390703219.59	104	78.9473684211	760.0	1
105000	1390703221.59	106	88.2352941176	680.0	1
106960	1390703223.59	108	83.3333333333	720.0	1
