400	1389647331.72	inf	0.0	0
2400	1389647333.72	66.6666666667	900.0	1
4400	1389647335.72	75.0	800.0	1
6350	1389647337.72	70.5882352941	850.0	1
8350	1389647339.72	72.7272727273	825.0	1
10350	1389647341.73	63.1578947368	950.0	1
12300	1389647343.73	60.0	1000.0	1
14300	1389647345.73	75.0	800.0	1
16250	1389647347.73	66.6666666667	900.0	1
18250	1389647349.73	66.6666666667	900.0	1
20250	1389647351.74	75.0	800.0	1
22200	1389647353.74	80.0	750.0	1
24200	1389647355.74	nan	nan	0
26150	1389647357.74	nan	nan	0
28150	1389647359.74	nan	nan	0
30150	1389647361.74	nan	nan	0
32100	1389647363.75	nan	nan	0
34100	1389647365.75	nan	nan	0
36050	1389647367.75	nan	nan	0
38050	1389647369.75	nan	nan	0
40050	1389647371.75	109.090909091	550.0	1
42000	1389647373.76	114.285714286	525.0	1
44000	1389647375.76	92.3076923077	650.0	1
45950	1389647377.76	96.0	625.0	1
47950	1389647379.76	nan	nan	0
49950	1389647381.76	nan	nan	0
51900	1389647383.77	nan	nan	0
53900	1389647385.77	nan	nan	0
55850	1389647387.77	nan	nan	0
57850	1389647389.77	70.5882352941	850.0	0
59800	1389647391.77	80.0	750.0	0
61800	1389647393.77	nan	nan	0
63800	1389647395.77	nan	nan	0
65750	1389647397.78	nan	nan	0
67750	1389647399.78	nan	nan	0
69700	1389647401.78	nan	nan	0
71700	1389647403.78	133.333333333	450.0	0
73700	1389647405.78	nan	nan	0
75650	1389647407.78	nan	nan	0
77650	1389647409.79	nan	nan	0
79600	1389647411.79	100.0	600.0	0
81600	1389647413.79	nan	nan	0
83550	1389647415.79	85.7142857143	700.0	0
85550	1389647417.79	nan	nan	0
87550	1389647419.8	nan	nan	0
89500	1389647421.8	133.333333333	450.0	0
91500	1389647423.8	nan	nan	0
93450	1389647425.8	70.5882352941	850.0	0
95450	1389647427.8	nan	nan	0
97450	1389647429.81	nan	nan	0
99400	1389647431.81	nan	nan	0
101400	1389647433.81	nan	nan	0
103350	1389647435.81	nan	nan	0
105350	1389647437.81	nan	nan	0
107300	1389647439.81	nan	nan	0
109300	1389647441.82	200.0	300.0	0
111250	1389647443.82	nan	nan	0
113250	1389647445.82	nan	nan	0
115250	1389647447.82	75.0	800.0	0
117200	1389647449.82	nan	nan	0
119200	1389647451.83	nan	nan	0
